consumer_id,per_week_purchase_total,per_week_unique_ips,per_week_update_account,per_week_payment_method_change
563,,1.0,1.0,0.0
564,,1.0,1.0,0.0
565,0.0,1.0,1.0,0.0
566,27.55,1.0,,0.0
567,0.0,1.0,,0.0
570,0.0,1.0,,0.0
571,,2.0,,0.0
572,0.0,1.0,,0.0
573,73.03,2.0,1.0,0.0
574,,3.0,13.0,0.0
575,4.33,2.0,1.0,1.0
577,,1.0,,0.0
578,,1.0,,0.0
579,0.0,1.0,1.0,0.0
580,,1.0,,0.0
581,25.76,1.0,,0.0
582,14.7,2.0,8.0,0.0
583,0.0,1.0,2.0,0.0
584,,2.0,,0.0
585,,1.0,,0.0
586,66.64999999999999,2.0,,0.0
588,4.33,2.0,1.0,1.0
589,,1.0,,0.0
590,54.51,2.0,3.0,1.0
592,21.76,1.0,,0.0
593,,1.0,,0.0
594,51.91,1.0,,0.0
595,,1.0,,0.0
597,0.0,1.0,,0.0
598,,2.0,,0.0
599,,1.0,1.0,0.0
600,,1.0,2.0,0.0
601,,1.0,,0.0
602,,1.0,2.0,0.0
604,,3.0,22.0,11.0
605,,1.0,,0.0
606,24.67,1.0,5.0,3.0
607,,1.0,,2.0
608,,1.0,,0.0
609,,1.0,,0.0
610,0.0,2.0,1.0,0.0
611,35.74,1.0,1.0,0.0
616,108.37,1.0,,1.0
617,,1.0,1.0,0.0
619,,1.0,,0.0
620,,1.0,6.0,0.0
621,29.79,1.0,1.0,0.0
622,,1.0,,0.0
623,111.5,2.0,,0.0
624,,1.0,1.0,0.0
626,27.53,1.0,4.0,0.0
628,0.0,1.0,1.0,0.0
629,,1.0,,0.0
631,50.0,2.0,,0.0
632,,1.0,,0.0
633,0.0,1.0,,1.0
635,0.0,1.0,,0.0
636,0.0,1.0,,0.0
638,,1.0,1.0,0.0
640,,2.0,,1.0
642,,1.0,4.0,1.0
643,,1.0,,0.0
644,24.39,1.0,,0.0
645,21.85,1.0,,0.0
647,79.86,1.0,3.0,0.0
648,,2.0,3.0,0.0
650,2.99,1.0,,0.0
651,66.4,1.0,,0.0
652,,3.0,1.0,0.0
653,,1.0,,0.0
654,,1.0,,0.0
655,0.0,1.0,1.0,0.0
656,,1.0,,0.0
657,29.01,1.0,,0.0
658,0.0,1.0,,0.0
659,15.56,1.0,1.0,0.0
660,,1.0,1.0,0.0
661,4.33,2.0,1.0,1.0
662,0.0,1.0,,0.0
664,,1.0,3.0,1.0
665,39.6,1.0,,0.0
667,,1.0,,0.0
669,39.67,1.0,,0.0
